seed,RUNTIME_IF_NO_EXTERNAL_TEMP_DATA,BURNIN,LOGINTERVAL,N_POP,MU,RECOMBINATION_RATE,RECOVERY,GEN_LEN_DEPENDS_ON_TEMP,FIXED_GEN_LEN,USE_EXTERNAL_TEMP_DATA,TEMPDATA_PATH,MEAN_TEMP,STDEV_TEMP_POP,STDEV_TEMP_INDIVIDUAL,NUM_DAYS_TO_REPEAT,NUM_REP_TEMP_DATA,B_default,CTmin_default,B_critical,DeltaB,CTmin_critical,DeltaCTmin,CTmax_critical,DeltaCTmax,OUTDIR,OUTNAME
1,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9_seed_1
1,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0_seed_1
2,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0_seed_2
2,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1_seed_2
2,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2_seed_2
2,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004_seed_2
2,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4_seed_2
2,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5_seed_2
2,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001_seed_2
2,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001_seed_2
2,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8_seed_2
2,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9_seed_2
2,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0_seed_2
3,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0_seed_3
3,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1_seed_3
3,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2_seed_3
3,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004_seed_3
3,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4_seed_3
3,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5_seed_3
3,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001_seed_3
3,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001_seed_3
3,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8_seed_3
3,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9_seed_3
3,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0_seed_3
4,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0_seed_4
4,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1_seed_4
4,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2_seed_4
4,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004_seed_4
4,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4_seed_4
4,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5_seed_4
4,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001_seed_4
4,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001_seed_4
4,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8_seed_4
4,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9_seed_4
4,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0_seed_4
5,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0_seed_5
5,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1_seed_5
5,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2_seed_5
5,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004_seed_5
5,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4_seed_5
5,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5_seed_5
5,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001_seed_5
5,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001_seed_5
5,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8_seed_5
5,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9_seed_5
5,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0_seed_5
6,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0_seed_6
6,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1_seed_6
6,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2_seed_6
6,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004_seed_6
6,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4_seed_6
6,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5_seed_6
6,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001_seed_6
6,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001_seed_6
6,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8_seed_6
6,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9_seed_6
6,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0_seed_6
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0_seed_7
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1_seed_7
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2_seed_7
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004_seed_7
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4_seed_7
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5_seed_7
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001_seed_7
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001_seed_7
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8_seed_7
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9_seed_7
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0_seed_7
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0_seed_8
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1_seed_8
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2_seed_8
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004_seed_8
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4_seed_8
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5_seed_8
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001_seed_8
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001_seed_8
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8_seed_8
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9_seed_8
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0_seed_8
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0_seed_9
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1_seed_9
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2_seed_9
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004_seed_9
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4_seed_9
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5_seed_9
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001_seed_9
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001_seed_9
